,genre,anime_count
284,"[""'Drama'"", ""'School'"", ""'Slice of Life'""]",8
285,"[""'Comedy'"", ""'Fantasy'"", ""'Shounen'""]",8
286,"[""'Comedy'"", ""'School'"", ""'Shounen'"", ""'Supernatural'""]",8
287,"[""'Adventure'"", ""'Comedy'"", ""'Kids'"", ""'Sci-Fi'""]",8
288,"[""'Drama'"", ""'Romance'"", ""'Sci-Fi'""]",8
289,"[""'Comedy'"", ""'Kids'"", ""'Sci-Fi'"", ""'Shounen'""]",8
290,"[""'Mystery'"", ""'Shounen'""]",8
291,"[""'Comedy'"", ""'Ecchi'"", ""'Harem'"", ""'Romance'"", ""'School'"", ""'Sci-Fi'"", ""'Shounen'""]",8
292,"[""'Drama'"", ""'School'""]",8
293,"[""'Hentai'"", ""'Sci-Fi'""]",8
294,"[""'Music'"", ""'Space'""]",8
295,"[""'Comedy'"", ""'Drama'"", ""'Romance'"", ""'Seinen'""]",8
296,"[""'Drama'"", ""'Fantasy'""]",8
297,"[""'Comedy'"", ""'Mecha'"", ""'Police'"", ""'Sci-Fi'""]",8
298,"[""'Fantasy'"", ""'Kids'"", ""'Magic'""]",8
299,"[""'Comedy'"", ""'Magic'"", ""'Romance'"", ""'Seinen'"", ""'Supernatural'""]",8
300,"[""'Comedy'"", ""'Drama'"", ""'Music'""]",8
301,"[""'Adventure'"", ""'Comedy'"", ""'Fantasy'"", ""'Horror'"", ""'Supernatural'""]",8
302,"[""'Ecchi'"", ""'School'"", ""'Shounen'""]",8
303,"[""'Action'"", ""'Comedy'"", ""'School'"", ""'Shounen'""]",7
304,"[""'Action'"", ""'Comedy'"", ""'Seinen'""]",7
305,"[""'Comedy'"", ""'Kids'"", ""'School'"", ""'Slice of Life'""]",7
306,"[""'Comedy'"", ""'Kids'"", ""'Sci-Fi'""]",7
307,"[""'Drama'"", ""'Fantasy'"", ""'Slice of Life'""]",7
308,"[""'Action'"", ""'Drama'"", ""'Mecha'"", ""'Sci-Fi'""]",7
309,"[""'Horror'"", ""'Mystery'"", ""'Supernatural'""]",7
310,"[""'Adventure'"", ""'Slice of Life'""]",7
311,"[""'Action'"", ""'Comedy'"", ""'Martial Arts'"", ""'Shounen'"", ""'Super Power'""]",7
312,"[""'Music'"", ""'Sports'""]",7
313,"[""'Comedy'"", ""'Mystery'""]",7
314,"[""'Drama'"", ""'Shounen'"", ""'Sports'""]",7
315,"[""'Adventure'"", ""'Drama'"", ""'Historical'"", ""'Romance'""]",7
316,"[""'Action'"", ""'Mecha'"", ""'Military'"", ""'Music'"", ""'Romance'"", ""'Sci-Fi'"", ""'Space'""]",7
317,"[""'Music'"", ""'Shoujo'"", ""'Sports'""]",7
318,"[""'Music'"", ""'Shoujo'""]",7
319,"[""'Hentai'"", ""'Yaoi'""]",7
320,"[""'Historical'"", ""'Slice of Life'""]",7
321,"[""'Action'"", ""'Sci-Fi'"", ""'Shounen'""]",7
322,"[""'Shounen'"", ""'Sports'"", ""'Super Power'""]",7
323,"[""'Comedy'"", ""'Fantasy'"", ""'Magic'"", ""'Shoujo'""]",7
324,"[""'Action'"", ""'Comedy'"", ""'School'"", ""'Shounen'"", ""'Super Power'""]",7
325,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Sci-Fi'""]",7
326,"[""'Action'"", ""'Drama'"", ""'Shounen'""]",7
327,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Shounen'"", ""'Super Power'""]",7
328,"[""'Mecha'"", ""'Sci-Fi'"", ""'Shounen'""]",7
329,"[""'Drama'"", ""'Music'"", ""'Romance'"", ""'Slice of Life'""]",7
330,"[""'Adventure'"", ""'Fantasy'"", ""'Sci-Fi'"", ""'Shounen'""]",7
331,"[""'Adventure'"", ""'Fantasy'"", ""'Sci-Fi'""]",7
332,"[""'Drama'"", ""'Romance'"", ""'Shoujo'""]",7
333,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Drama'"", ""'Fantasy'"", ""'Kids'""]",7
334,"[""'Action'"", ""'Fantasy'"", ""'Game'"", ""'Shounen'""]",7
335,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Police'"", ""'Sci-Fi'""]",7
336,"[""'Romance'"", ""'Sci-Fi'""]",7
337,"[""'Adventure'"", ""'Comedy'"", ""'Fantasy'"", ""'Magic'""]",7
338,"[""'Action'"", ""'Adventure'"", ""'Mecha'"", ""'Sci-Fi'"", ""'Space'""]",7
339,"[""'Adventure'"", ""'Fantasy'"", ""'Shounen'""]",7
340,"[""'Action'"", ""'Historical'"", ""'Samurai'""]",7
341,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Sci-Fi'""]",7
342,"[""'Adventure'"", ""'Cars'"", ""'Game'"", ""'Kids'"", ""'Mecha'""]",7
343,"[""'Comedy'"", ""'Ecchi'"", ""'Romance'"", ""'School'""]",7
344,"[""'Comedy'"", ""'Romance'"", ""'Seinen'"", ""'Slice of Life'""]",7
345,"[""'Cars'"", ""'Shounen'"", ""'Sports'""]",7
346,"[""'Action'"", ""'Historical'""]",7
347,"[""'Action'"", ""'Drama'"", ""'Sports'""]",7
348,"[""'Comedy'"", ""'Fantasy'"", ""'Supernatural'""]",7
349,"[""'Action'"", ""'Comedy'"", ""'Shounen'""]",7
350,"[""'Demons'"", ""'Hentai'"", ""'Supernatural'""]",7
351,"[""'Comedy'"", ""'School'"", ""'Shoujo'""]",7
352,"[""'Cars'""]",7
353,"[""'Comedy'"", ""'Kids'"", ""'School'"", ""'Sci-Fi'"", ""'Slice of Life'""]",7
354,"[""'Action'"", ""'Horror'"", ""'Mystery'"", ""'Seinen'"", ""'Supernatural'""]",7
355,"[""'Action'"", ""'Drama'""]",7
356,"[""'Fantasy'"", ""'Kids'"", ""'Magic'"", ""'Shoujo'""]",7
357,"[""'Action'"", ""'Drama'"", ""'Shounen'"", ""'Sports'""]",7
358,"[""'Action'"", ""'Fantasy'"", ""'Mecha'"", ""'Military'"", ""'Shounen'""]",7
359,"[""'Drama'"", ""'Shoujo'"", ""'Slice of Life'""]",7
360,"[""'Adventure'"", ""'Comedy'"", ""'Drama'"", ""'Fantasy'"", ""'Kids'""]",7
361,"[""'Comedy'"", ""'Ecchi'"", ""'School'"", ""'Seinen'"", ""'Slice of Life'""]",7
362,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Shounen'""]",7
363,"[""'Space'""]",6
364,"[""'Comedy'"", ""'Kids'"", ""'Supernatural'""]",6
365,"[""'Drama'"", ""'Magic'"", ""'Psychological'"", ""'Thriller'""]",6
366,"[""'Comedy'"", ""'Ecchi'"", ""'Magic'""]",6
367,"[""'Fantasy'"", ""'Magic'"", ""'School'""]",6
368,"[""'Adventure'"", ""'Comedy'"", ""'Historical'""]",6
369,"[""'Action'"", ""'Military'"", ""'Sci-Fi'"", ""'Space'""]",6
370,"[""'Comedy'"", ""'School'"", ""'Shoujo Ai'"", ""'Slice of Life'""]",6
371,"[""'Comedy'"", ""'Seinen'"", ""'Sports'""]",6
372,"[""'Drama'"", ""'School'"", ""'Sports'""]",6
373,"[""'Drama'"", ""'Historical'"", ""'Romance'""]",6
374,"[""'Game'"", ""'Psychological'""]",6
375,"[""'Drama'"", ""'Shoujo'"", ""'Sports'""]",6
376,"[""'Adventure'"", ""'Comedy'"", ""'Fantasy'"", ""'Kids'"", ""'Sci-Fi'"", ""'Shounen'""]",6
377,"[""'Comedy'"", ""'Shoujo Ai'"", ""'Slice of Life'""]",6
378,"[""'Action'"", ""'Supernatural'""]",6
379,"[""'Action'"", ""'Martial Arts'"", ""'Shounen'""]",6
380,"[""'Comedy'"", ""'Romance'"", ""'School'"", ""'Seinen'"", ""'Slice of Life'""]",6
381,"[""'Hentai'"", ""'Historical'""]",6
382,"[""'Comedy'"", ""'Ecchi'"", ""'School'"", ""'Sports'""]",6
383,"[""'Comedy'"", ""'Romance'"", ""'School'"", ""'Shoujo'"", ""'Slice of Life'""]",6
384,"[""'Comedy'"", ""'Sci-Fi'"", ""'Seinen'""]",6
385,"[""'Action'"", ""'Drama'"", ""'Fantasy'"", ""'Military'"", ""'Mystery'"", ""'Shounen'"", ""'Super Power'""]",6
386,"[""'Comedy'"", ""'Ecchi'"", ""'Romance'"", ""'Supernatural'""]",6
387,"[""'Drama'"", ""'Sci-Fi'"", ""'Space'""]",6
